prompt_short,count
"In some countries, more and more people are becoming interested in finding out about the history of the house or buildin",472
"Some people believe that studying at university or college is the best route to a successful career, while others believ",280
Some people believe that teenagers should be required to do unpaid community work in their free time. This can benefit t,220
"Some people think that instead of preventing climate change, we need to find a way to live with it. To what extent do yo",169
Some people think that art is an essential subject for children at school while others think it is a waste of time. Disc,115
Some people think that all teenagers should be required to do unpaid work in their free time to help the local community,104
The increase in the production of consumer goods results in damage to the natural environment. What are the causes of th,98
"Nowadays celebrities are more famous for their glamour and wealth than for their achievements, and this sets a bad examp",81
"Some people think that museums should be enjoyable places to entertain people, while others believe that the purpose of ",79
"As well as making money, businesses also have social responsibilities. To what extent do you agree or disagree?",71
The best way to teach children to cooperate is through team sports at school. To what extent do you agree or disagree?,58
In some countries more and more people are becoming interested in finding out bout the history of the house or building ,56
Some people believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion?,55
More people decided to have children in their later age than in the past. Why? Do advantages of this outweigh disadvanta,54
"In many countries today, parents are able to choose to send their children to single-sex schools or co-educational schoo",47
Many students find it difficult to focus or pay attention at school nowadays. What are the reasons for this? What can be,41
Some universities offer online courses as an alternative to classes delivered on campus. Do you think this is a positive,38
"Some experts believe that when a country is already rich, any additional increase in economic wealth does not make its c",37
"Nowadays celebrities are more famous for their glamour and wealth rather than for their achievements, and this sets a ba",37
"Some people say that economic growth is the only way to end hunger and poverty, while others say that economic growth is",37
Consumers are faced with increasing numbers of advertisements from competing companies. To what extent do you think are ,35
"In some cities and towns all over the world, the high volume of traffic is a problem. What are the causes of this and wh",33
Consumers are faced with increasing numbers of advertisements from competing companies. To what extent do you think cons,33
"Many people argue that in order to improve educational quality, high school students are encouraged to make comments or ",32
Some believe that people should make efforts to fight climate change while others think it is better to learn to live wi,30
"Some people think that employers should not care about the way their employees dress, because what matters is the qualit",30
"Some people say that to prevent illness and disease, governments should focus more on reducing environmental pollution a",29
"In cities and towns all over the world, the high volume of traffic is a problem. What are the causes of this and what ac",29
Some people believe that children that commit crimes should be punished. Others think the parents should be punished ins,28
"There are several factors that motivate people to stay in the workforce, and money is the most important reason/factor. ",28
Some people think that the range of technology currently available is increasing the gap between rich people and poor pe,27
Some people think that secondary school children should study international news as one of the school subjects. Other pe,26
Human activities have a negative effect on plant and animal species. Some people say that it is too late to do anything.,26
Some believe that younger family members should be legally responsible for supporting older family members when they bec,26
Some people think that competitive sports have a positive effect on the education of teenagers while others argue that t,26
It is more important to spend public money on promoting a healthy lifestyle in order to prevent illness than to spend it,26
Advertisements are becoming more and more common in everyday life. Is it a positive or negative development?,26
More and more people are becoming seriously overweight. Some people suggest that the solution to this problem is to incr,25
"Some people think news has no connection to people's lives, so it is a waste of time to read the news in newspapers and ",25
Human activities have negative effects on plant and animal species. Some people think it is too late to do anything abou,25
Many people believe that modern music can have a negative impact on the young. Others believe the effect of modern music,24
"Some people believe that they should be able to keep all the money they earn, and should not have to pay tax to the stat",24
"Some people argue that we should do research into their family history. Others, agree with the view that we should focus",24
In some countries more and more people are becoming interested in finding out about the history of the house or building,23
"The best way to reduce poverty in developing countries is by giving up to six years of free education, so that they can ",23
People think that government should increase the cost of fuel for cars and other vehicles to solve environmental problem,23
The only way to improve road safety is to give much stricter punishments on driving offenses. To what extent do you agre,23
The shortage of housing in big cities can cause severe consequences. Only government action can solve this problem. To w,23
Some people think that one of the best ways to solve environmental problems is to increase the cost of fuel for cars and,23
Some people believe that teenager should be required to do unpaid community work in their free time . This can be benefi,22
Nowadays celebrities are more famous for their glamour and wealth than for their achievements and this sets a bad exampl,22
The typical teaching situation of a teacher and students in the class will not exist by the year 2050. To what extent do,22
Whether or not someone achieves their aims is mostly by a question of luck. To what extent do you agree or disagree?,22
People nowadays tend to have children at older ages. Do the advantages of this outweigh the disadvantages?,21
some countries more and more people are becoming interested in finding out bout the history of the house or building the,21
Some people think that climate change could have a negative effect on business. Other people think that climate change c,21
"In some countries, more and more people becoming interested in finding out about the history of the house or building th",21
Directors of large organizations earn much higher salaries than ordinary employees do. Some people think it is necessary,21
Some people think that robots are important for human’s future development. Others think that robots have negative effec,21
Many university graduates cannot find a job in their chosen profession. What factors may have caused this situation and ,20
"Some people think that the best way to become successful in life is to get a university education, whereas others say th",20
Some people believe that one of the best ways to solve environmental problem is to increase the cost of fuel for cars an,20
The range of technology available to people is increasing the gap between the rich and the poor. Others think it has an ,20
Some people think that the best way to solve global environmental problems is to increase the cost of fuel. To what exte,19
"Schools should focus on academic success and passing examinations. Skills such as cookery, dressmaking and woodwork shou",19
Some people think that public health within a country can be improved by government making laws regarding nutritious foo,19
"Some people believe that robots will play an important role in future societies, while others argue that robots might ha",19
Some people think the best way to solve global environmental problems is to increase the cost of fuel. To what extent do,19
Some employers believe that job applicants’ social skills are more important than their academic qualifications. To what,18
Some people think that children should be taught at school to recycle materials and avoid waste. Other people believe th,18
Some people believe that what children watch on television influences their behaviour. Others say that amount of time sp,18
Some people think that one of the best ways to solve environmental problems is to increase the cost of fuels for cars an,18
Children find it difficult to concentrate on or pay attention to their studies in school. What are the reasons? How can ,18
"The education of young people is highly prioritized in many countries. However, educating adults who cannot write or rea",17
Money should be spent on creating new public buildings such as museums or town halls rather than renovating the existing,17
"In some countries, there has been an increase in the number of parents who educate their children themselves at home ins",17
"Some people believe that time spent on television, video and computer games can be beneficial to children. Others believ",17
Only government action can solve housing shortages in big cities. To what extent do you agree or disagree?,17
"Scientists tell us that some activities are good for health and others are bad. Despite knowing that, millions of people",17
Some people think that charity organizations should only offer help to people of their own country. But others believe t,17
Some believe that people are naturally born as leaders while others feel that leadership skills can develop. Discuss bot,17
Some people claim that many things that children are taught at school are a waste of time. Other people argue that every,16
Some people think that art is essential subject for children at school while others think it is a waste of time. Discuss,16
"Nowadays, more and more people decide to have children later in their life. What do you think are the reasons for this? ",16
"Men and women are different in terms of their characteristics and abilities. For this reason, some jobs are better done ",16
Some people think scientific research should focus on solving world health problems. Others think that there are more im,16
More and more people are seriously overweight. Some people suggest the solution to this problem is to increase the price,16
"Nowadays families move to different countries for work. Some people think it has a negative effect on children, while ot",16
Some believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion?,16
More and more people decide to eat healthy food and exercise regularly. What are the reasons for this trend? What can be,16
"Education for young people is important in many countries. However, some people think that the government should spend m",15
"In many countries, the government likes to spend more money on the arts. Some people agree with this. However, others th",15
The only way to improve safety on our roads is to give much stricter punishments for driving offences. What extent do yo,15
Some people believe that the government should take care of old people and provide financial support after they retire. ,15
Some believe technology has made our lives too complex and the solution is to lead a simpler life without technology. To,15
"some people believe that studying at university or college is the best route to a successful career, while others believ",15
Films and computer games containing violence are popular. Some people say they have negative effect on society and shoul,15
"Some people think the main purpose of school is to turn children into good citizens and workers, rather than to benefit ",15
"Many people argue that in order to improve educational quality, high school students should be encouraged to question an",15
"Nowadays, more and more people decide to have children later in their life. What are the reasons? Do advantages of this ",15
Some people say that playing computer games is bad for children in every aspect. Others say that playing computer games ,15
Some people think the increasing business and cultural contact between countries brings many positive effects. Others sa,14
Some people think the government should increase the cost of fuel for cars and other vehicles in order to solve environm,14
Parents should encourage children to spend less time studying and more time doing physical activities. To what extent do,14
Today people are surrounded by advertising. This affects what people think is important and has a negative impact on peo,14
"Every day, millions of tons of food are wasted all over the world. Why do you think this is happening? And how can we so",14
some people believe that teenagers should be required to do unpaid community work in their free time .This can benefit t,14
"In the past, people stored knowledge in books. Nowadays people store knowledge on the internet. Do you think the advanta",14
"In some countries, more and more people are becoming interested in finding out about the history of the houses or buildi",14
Some people believe that teenager should be required to do unpaid community work in their free time. This can be benefit,13
"Some people think that governments should change the way individuals live, while others believe they should choose the w",13
"Some people think that robots are very important to human’s future development, while others think they are dangerous an",13
Some believe that people are naturally born leaders while others feel that leadership skills can develop. Discuss both v,13
Some people use social media to keep in touch with other people and news events. Do you think advantages of this technol,13
Public health is becoming an urgent issue nowadays. Some argue that governments should create nutrition and food choice ,13
Advertisements are becoming more and more common in our everyday life. Is it a positive or negative development?,13
"Some people think news has no connection to people's lives, so then it is a waste of time to read the news in the newspa",13
Some think that governments should support retired people financially while others believe they should take care of them,13
Some people think news has no connection to people’s lives. So then it is a waste of time to read the newspaper and watc,12
Some people think parents should read or tell stories to children. Others think parents needn’t do that as children can ,12
"Some people think that newspapers are the best way to get news. However, others believe that they can get news better th",12
"Nations should spend more money on skills and vocational training for practical work, rather than on university educatio",12
"Some people think that in order to continue improving the quality of high school education, students should be encourage",12
Some people think that illegal Internet downloads are having a negative effect on the music industry. Others feel that t,12
Human activities have negative effects on plants and animal species. Some people think that it is too late to do anythin,12
Some people believe that a great difference in age between people and children is more beneficial. Do you think the adva,12
Most of the urgent problems can only be solved with international cooperation. To what extent do you agree or disagree?,12
"Nowadays, more and more people decide to have children later in their life. What are the reasons? Do the advantages of t",12
Some people think that museums should be enjoyable places to entertain people while others believe that the purpose of m,12
"Some people think technology makes life complex, so we should make life simpler without using technology. Do you agree o",12
Some people say that what children watch influences their behavior. Others believe the amount of time they spend on tele,12
Movies and computer games containing violence are popular. Some people say they have a negative effect on society and sh,11
Only 20% of Tech Jobs are Held by Women. What problems do women face that prevent them from getting these jobs and what ,11
People think that the government should increase the cost of fuel for cars and other vehicles to solve environmental pro,11
Some people use social media to keep in touch with other people and news events. Do you think advantage of technology ou,11
More and more people are becoming seriously overweight. Some people say that the price increase of fattening foods will ,11
"Experts believe that over the next decade, robots will be doing many of the jobs currently done by humans. Discuss the a",11
"Studies show that many criminals have a low level of education. For this reason, people believe that the best way to red",11
"Many different countries have most shops and products as the same. Some consider it a positive development, whereas othe",11
Some people think that public health of a country can be improved if the government make laws regarding nutritious food ,11
"Education for young people is important in many countries. However, others think government should spend more money for ",11
Newspapers have an enormous influence on people’s opinions and ideas. Do you think it is a positive or negative situatio,11
"Education of young people is highly prioritized in many countries. However, educating adults who cannot write or read is",11
"Some countries, more and more people becoming interested in finding out about the history of the house or building they ",11
It is important for all towns and cities to have large public spaces such as squares and parks. Do you agree or disagree,10
Environmental damage is a problem in most countries. What factors damage the environment and who should take responsibil,10
"Some people think that it is a waste of money for countries to host big sporting events like the world cup, and that the",10
"Nowadays more and more people want to get things done instantly (services, information, tasks). Why is this? Do you thin",10
"Some people think that children should not watch television because it has negative effects, while others believe that t",10
Restoration of old buildings in main cities involves enormous government expenditure. It would be more beneficial to spe,10
Write about the following topic.The issue of gay marriage remains controversial. Some people think that this trend has a,10
"in some countries, more and more people are becoming interested in finding out about the history of the house or buildin",10
Some people believe that eventually all jobs will be done by artificial intelligence robots. What is your opinion?,9
It is more important to spend public money promoting a healthy lifestyle in order to prevent illness than to spend it on,9
Some countries more and more people are becoming interested in finding out bout the history of the house or building the,9
In cities and towns all over the world the high volume of traffic is a problem. What are the causes of this and what act,9
It is argued that the parents of children who break the rules should be punished in some ways as parents are responsible,9
News media is important in our society. Why is it so important? Do you think its influence is generally positive or nega,9
Some people think that the best way to solve global environment problems is to increase the cost of fuel. To what extent,9
Many customs and traditional ways of behaviors are no longer relevant to the modern life and no worth keeping. Do you ag,9
Some employers believe that job applicants’ social skills are more important than their academic qualifications. Do you ,9
"Nowadays, we are surround by advertising in our daily lives. Some people believe this has a positive effect on society. ",9
It is important for all towns and cities to have large public outdoor places like squares and parks. To what extent do y,9
Many people believe that the priority of the government should be to ensure a growing economy. While others believe that,9
Some people think government should focus on reducing environmental pollution and housing problems to help prevent illne,9
"Many people argue that in order to improve educational quality, high school students should be encouraged to make commen",9
Some people say that public sports facilities improve people health problems. Others argue that this development has ins,9
Some people believe that watching television is bad for children. Other people believe that watching television is educa,8
It is suggested that primary children should learn how to grow vegetables and keep animals. Do the advantages outweigh t,8
Write about the following topic.Some people prefer to spend their lives doing the same things and avoiding change. Other,8
Human activities have led negative effects on plant and animals all over the world. Some people think it is too late to ,8
Some people think the money spent on developing the technology for space exploration is not justified. There are more be,8
