prompt_short,n,band_mean,band_std,word_count_mean,prompt_overlap_mean
"In some countries, more and more people are becoming interested in finding out about the history of the house or buildin",472,5.924788135593221,1.5310515507272124,303.8305084745763,0.5907492342873698
"Some people believe that studying at university or college is the best route to a successful career, while others believ",280,5.901785714285714,1.3932107616288663,303.5285714285714,0.5588279385640896
Some people believe that teenagers should be required to do unpaid community work in their free time. This can benefit t,220,5.536363636363636,1.6269829361338537,285.9590909090909,0.554045954045954
"Some people think that instead of preventing climate change, we need to find a way to live with it. To what extent do yo",169,6.239644970414201,1.2956988799445013,302.8047337278106,0.44370009794230886
Some people think that art is an essential subject for children at school while others think it is a waste of time. Disc,115,6.1521739130434785,1.3510455876894962,306.18260869565216,0.5763426743388936
Some people think that all teenagers should be required to do unpaid work in their free time to help the local community,104,5.783653846153846,1.5371838187433615,286.375,0.5508484162895928
The increase in the production of consumer goods results in damage to the natural environment. What are the causes of th,98,6.153061224489796,1.3892224393176351,302.88775510204084,0.5517006802721088
"Nowadays celebrities are more famous for their glamour and wealth than for their achievements, and this sets a bad examp",81,6.1234567901234565,1.2833814324800592,299.6296296296296,0.5085130918464251
"Some people think that museums should be enjoyable places to entertain people, while others believe that the purpose of ",79,5.8544303797468356,1.536212247317677,280.17721518987344,0.5081977094635323
"As well as making money, businesses also have social responsibilities. To what extent do you agree or disagree?",71,6.147887323943662,1.5431747567854655,281.9577464788732,0.5901408450704225
The best way to teach children to cooperate is through team sports at school. To what extent do you agree or disagree?,58,6.103448275862069,1.413464763490252,289.7586206896552,0.6172413793103447
In some countries more and more people are becoming interested in finding out bout the history of the house or building ,56,6.008928571428571,1.4693569138435156,301.4107142857143,0.5297619047619048
Some people believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion?,55,5.609090909090909,1.6768878501417028,287.8,0.604040404040404
More people decided to have children in their later age than in the past. Why? Do advantages of this outweigh disadvanta,54,5.805555555555555,1.3716010018136107,318.3888888888889,0.47490253411306044
"In many countries today, parents are able to choose to send their children to single-sex schools or co-educational schoo",47,5.446808510638298,1.8333683735053008,291.6170212765957,0.48125983502770275
Many students find it difficult to focus or pay attention at school nowadays. What are the reasons for this? What can be,41,5.646341463414634,1.4240957764447604,295.8780487804878,0.5792682926829268
Some universities offer online courses as an alternative to classes delivered on campus. Do you think this is a positive,38,6.2631578947368425,1.1725281193266386,303.60526315789474,0.5197368421052632
"Nowadays celebrities are more famous for their glamour and wealth rather than for their achievements, and this sets a ba",37,5.878378378378378,1.7849891277501344,292.2972972972973,0.5096525096525096
"Some people say that economic growth is the only way to end hunger and poverty, while others say that economic growth is",37,6.027027027027027,1.3740953890244076,310.1621621621622,0.5212355212355212
"Some experts believe that when a country is already rich, any additional increase in economic wealth does not make its c",37,5.986486486486487,1.7057357751230213,284.7027027027027,0.5453882453882454
Consumers are faced with increasing numbers of advertisements from competing companies. To what extent do you think are ,35,5.557142857142857,1.5376233980678478,297.22857142857146,0.37252747252747254
"In some cities and towns all over the world, the high volume of traffic is a problem. What are the causes of this and wh",33,6.242424242424242,1.3057637379686802,319.27272727272725,0.48760330578512395
Consumers are faced with increasing numbers of advertisements from competing companies. To what extent do you think cons,33,6.196969696969697,1.21796060293551,310.27272727272725,0.340992340992341
"Many people argue that in order to improve educational quality, high school students are encouraged to make comments or ",32,6.234375,0.9836106543520351,314.9375,0.534383457977208
Some believe that people should make efforts to fight climate change while others think it is better to learn to live wi,30,6.283333333333333,1.362574473341659,308.9,0.5145833333333333
"Some people think that employers should not care about the way their employees dress, because what matters is the qualit",30,6.183333333333334,1.7144584614658807,289.06666666666666,0.4954517704517704
"In cities and towns all over the world, the high volume of traffic is a problem. What are the causes of this and what ac",29,6.275862068965517,1.082211747307269,305.44827586206895,0.4778089424187428
"Some people say that to prevent illness and disease, governments should focus more on reducing environmental pollution a",29,5.741379310344827,1.4430912359483499,286.8965517241379,0.5880728466935363
Some people believe that children that commit crimes should be punished. Others think the parents should be punished ins,28,5.892857142857143,1.51753420156188,301.2142857142857,0.5892857142857143
"There are several factors that motivate people to stay in the workforce, and money is the most important reason/factor. ",28,5.964285714285714,1.5748519708717799,293.85714285714283,0.46886446886446886
Some people think that the range of technology currently available is increasing the gap between rich people and poor pe,27,5.833333333333333,1.4005493427717788,292.77777777777777,0.46329883805374006
It is more important to spend public money on promoting a healthy lifestyle in order to prevent illness than to spend it,26,6.288461538461538,1.372392632762774,292.3076923076923,0.5649038461538461
Some people think that secondary school children should study international news as one of the school subjects. Other pe,26,6.134615384615385,1.5463356188595818,304.84615384615387,0.4656364468864469
Some believe that younger family members should be legally responsible for supporting older family members when they bec,26,5.9423076923076925,1.5513021825351956,311.2307692307692,0.5510867808661927
Some people think that competitive sports have a positive effect on the education of teenagers while others argue that t,26,5.346153846153846,1.3767296813044365,296.96153846153845,0.48717948717948717
Advertisements are becoming more and more common in everyday life. Is it a positive or negative development?,26,6.269230769230769,1.1935725301025426,309.5769230769231,0.4855769230769231
Human activities have a negative effect on plant and animal species. Some people say that it is too late to do anything.,26,6.096153846153846,1.5363543261190158,301.84615384615387,0.47115384615384615
"Some people think news has no connection to people's lives, so it is a waste of time to read the news in newspapers and ",25,6.34,1.213809430402208,286.56,0.49328947368421056
Human activities have negative effects on plant and animal species. Some people think it is too late to do anything abou,25,5.9,1.4790199457749038,308.48,0.4904347826086956
More and more people are becoming seriously overweight. Some people suggest that the solution to this problem is to incr,25,5.2,1.5612494995995998,283.76,0.4630252100840336
"Some people believe that they should be able to keep all the money they earn, and should not have to pay tax to the stat",24,5.541666666666667,1.6010639578422372,289.0833333333333,0.4708333333333334
"Some people argue that we should do research into their family history. Others, agree with the view that we should focus",24,5.833333333333333,1.0801234497346435,293.25,0.5104166666666666
Many people believe that modern music can have a negative impact on the young. Others believe the effect of modern music,24,5.583333333333333,1.578845661611168,299.9583333333333,0.6170138888888889
Some people think that one of the best ways to solve environmental problems is to increase the cost of fuel for cars and,23,6.130434782608695,1.3998164758309943,326.5217391304348,0.6342391304347826
"The best way to reduce poverty in developing countries is by giving up to six years of free education, so that they can ",23,6.391304347826087,1.4138641581522284,311.0869565217391,0.532608695652174
The only way to improve road safety is to give much stricter punishments on driving offenses. To what extent do you agre,23,6.065217391304348,1.1707063507488948,308.4347826086956,0.509534706331045
People think that government should increase the cost of fuel for cars and other vehicles to solve environmental problem,23,6.478260869565218,1.426042368916388,299.8695652173913,0.5825768434464087
The shortage of housing in big cities can cause severe consequences. Only government action can solve this problem. To w,23,5.913043478260869,1.6000864601145453,302.4782608695652,0.43812709030100333
In some countries more and more people are becoming interested in finding out about the history of the house or building,23,6.282608695652174,1.2415723806063765,296.95652173913044,0.5764163372859025
Some people believe that teenager should be required to do unpaid community work in their free time . This can be benefi,22,6.0227272727272725,1.2580906993504912,283.27272727272725,0.5242424242424243
Nowadays celebrities are more famous for their glamour and wealth than for their achievements and this sets a bad exampl,22,5.4772727272727275,1.451413701052092,285.45454545454544,0.5027472527472527
Whether or not someone achieves their aims is mostly by a question of luck. To what extent do you agree or disagree?,22,4.295454545454546,2.7973588347254363,290.09090909090907,0.17727272727272728
The typical teaching situation of a teacher and students in the class will not exist by the year 2050. To what extent do,22,6.386363636363637,1.4794772096429245,285.40909090909093,0.47520661157024796
Directors of large organizations earn much higher salaries than ordinary employees do. Some people think it is necessary,21,5.428571428571429,1.5271355071318513,298.42857142857144,0.498329156223893
